구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,6차 출발시간,6차 출발역,6차기운영,6차 도착시간,6차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간
휴휴,63,,18:01,답십,5629,21:12,답십,7:07,답십,5015,7:35,하풍,7:42,하풍,5034,8:10,답십,,,,,,,,,,,,,,,,8:41,,9:15,4:15,4:00,0:00,0:00,0:30,0:30,3:12
휴휴,64,,18:07,답십,5133,18:35,하풍,18:42,하풍,5144,21:18,답십,7:19,답십,5017,7:47,하풍,7:54,하풍,5036,8:22,답십,,,,,,,,,,,8:53,,9:15,4:15,4:00,0:00,0:00,0:30,0:30,3:18
휴휴,65,,18:17,답십,5624,20:24,답십,21:07,답십,5165,21:35,하풍,21:46,하풍,5174,22:14,답십,7:25,답십,5521,8:28,답십,,,,,,,,,,,8:59,,9:19,4:19,4:00,0:00,0:00,0:30,0:30,4:14
휴휴,66,,18:19,답십,5135,18:47,하풍,18:54,하풍,5146,21:30,답십,7:31,답십,5019,7:59,하풍,8:06,하풍,5038,8:34,답십,,,,,,,,,,,9:05,,9:15,4:15,4:00,0:00,0:00,0:30,0:30,3:30
휴휴,67,,18:41,답십,5628,21:53,답십,7:49,답십,5525,8:52,답십,,,,,,,,,,,,,,,,,,,,,9:23,,9:16,4:16,4:00,0:00,0:00,0:30,0:30,3:53
휴휴,68,,18:49,답십,5637,22:00,답십,7:53,고기,1018,7:58,상일,8:14,강동,5025,8:30,하풍,8:42,하풍,5044,9:10,답십,,,,,,,,,,,9:41,,11:19,4:29,4:00,0:50,0:00,1:30,0:30,4:50
휴휴,69,,18:53,답십,5630,22:07,답십,8:17,고기,1020,8:22,상일,8:38,강동,5031,8:53,하풍,9:06,하풍,5048,9:34,답십,,,,,,,,,,,10:05,,11:22,4:32,4:00,0:50,0:00,1:30,0:30,4:57
휴휴,70,,18:59,답십,5142,21:06,답십,22:15,답십,5174,23:21,방기,6:13,방기,1517,7:18,답십,,,,,,,,,,,,,,,,7:49,,11:19,4:19,4:00,0:00,0:00,1:30,1:30,7:08
휴휴,71,,19:01,답십,5639,22:12,답십,8:07,답십,5027,8:34,고기,,,,,,,,,,,,,,,,,,,,,9:34,,7:39,3:39,2:30,0:00,0:00,0:30,1:00,2:42
휴휴,72,,19:07,답십,5145,19:35,하풍,19:42,하풍,5154,22:18,답십,8:31,답십,5033,8:58,고기,,,,,,,,,,,,,,,,9:58,,7:39,3:39,2:30,0:00,0:00,0:30,1:00,2:48
휴휴,73,,19:25,답십,5643,22:37,답십,8:01,답십,5527,9:04,답십,,,,,,,,,,,,,,,,,,,,,9:35,,9:16,4:16,4:00,0:00,0:00,0:30,0:30,4:37
휴휴,74,,19:29,답십,5636,21:36,답십,22:53,답십,5180,23:59,방기,6:25,방기,1519,7:30,답십,,,,,,,,,,,,,,,,8:01,,11:19,4:19,4:00,0:00,0:00,1:30,1:30,7:34
휴휴,75,,19:35,답십,5145,22:11,하풍,22:24,하풍,5180,22:52,답십,8:25,답십,5531,9:28,답십,,,,,,,,,,,,,,,,9:59,,9:21,4:21,4:00,0:00,0:00,0:30,0:30,4:52
휴휴,76,,19:43,답십,5151,20:11,하풍,20:18,하풍,5160,21:53,방기,5:37,화곡,5511,7:28,답십,,,,,,,,,,,,,,,,7:59,,11:18,4:18,4:00,0:00,0:00,1:30,1:30,6:33
